country_code,Country,year,exports_goods_services,gdp_current_usd,imports_goods_services,inflation_cpi,reer,tariff_weighted_mean
CHN,China,2013,2354264539609.2,9743124247267.24,2119392421427.69,2.62,114.653227661175,
CHN,China,2014,2462825804851.16,10674533168257.4,2241276198979.27,1.92,118.357691761294,4.74
CHN,China,2015,2362097053274.6,11280814787468.9,2003260696068.67,1.44,130.042747774101,4.52
CHN,China,2016,2199974853570.14,11456024084962.0,1944490534275.23,2.0,123.889834793888,3.54
CHN,China,2017,2424216052098.35,12537559062282.9,2208518918632.2,1.59,120.253713848496,3.83
CHN,China,2018,2655609176087.45,14147765772963.8,2564121910994.89,2.07,121.797879387687,3.39
CHN,China,2019,2628941104657.6,14560167101283.4,2496153305902.9,2.9,121.177385977621,2.53
CHN,China,2020,2729884575163.89,14996414166715.1,2374737462777.69,2.42,123.642567649708,2.47
CHN,China,2021,3554107780957.44,18201698719564.0,3093278397249.18,0.98,127.324127802355,2.31
CHN,China,2022,3717887818646.97,18316765021690.2,3140040863536.23,1.97,126.202788815116,2.18
CHN,China,2023,3490089712362.99,18270356654533.2,3106457704279.42,0.23,116.041112096811,
EGY,"Egypt, Arab Rep.",2013,49085271317.8295,288434108527.132,67364341085.2713,9.47,,8.55
EGY,"Egypt, Arab Rep.",2014,43529411764.7059,305595408895.265,69296987087.5179,10.07,,7.43
EGY,"Egypt, Arab Rep.",2015,43423180592.9919,329366576819.407,71347708894.8787,10.37,,7.08
EGY,"Egypt, Arab Rep.",2016,34392638036.8098,332441717791.411,66159509202.454,13.81,,6.63
EGY,"Egypt, Arab Rep.",2017,37289402173.913,248362771739.13,69089673913.0435,29.51,,7.41
EGY,"Egypt, Arab Rep.",2018,47225661226.7867,262588632526.73,73331457512.6618,14.4,,8.19
EGY,"Egypt, Arab Rep.",2019,53041002277.9043,318678815489.749,78012528473.8041,9.15,,10.43
EGY,"Egypt, Arab Rep.",2020,47872738615.0967,383817841547.099,75433562071.1167,5.04,,
EGY,"Egypt, Arab Rep.",2021,44850223072.0204,424671765455.704,81943913320.5864,5.21,,
EGY,"Egypt, Arab Rep.",2022,71927051671.7325,476747720364.742,104389057750.76,13.9,,
EGY,"Egypt, Arab Rep.",2023,75645997561.7681,395926075163.006,84507686602.5298,33.88,,
IND,India,2013,472180271340.149,1856721507621.58,527555307105.956,10.02,,6.34
IND,India,2014,468345815420.933,2039126479154.52,529239428328.665,6.67,,
IND,India,2015,416787940847.812,2103588360044.94,465097595426.184,4.91,,7.32
IND,India,2016,439642578076.358,2294796885663.16,480169055768.282,4.95,,6.35
IND,India,2017,498258808231.521,2651474262755.45,582018012521.568,3.33,,5.78
IND,India,2018,538635186135.438,2702929641648.74,640300806738.542,3.94,,4.88
IND,India,2019,529245063167.215,2835606256558.19,602315056052.526,3.73,,6.59
IND,India,2020,499728529072.629,2674851578587.27,510244747372.174,6.62,,6.19
IND,India,2021,677769255428.552,3167270623260.47,760902891806.013,5.13,,5.87
IND,India,2022,778021514754.531,3346107287730.93,897550749081.828,6.7,,4.59
IND,India,2023,780408530088.596,3638489096033.86,856651130547.122,5.65,,
RUS,Russian Federation,2013,592496613389.693,2292470078346.22,468622436736.16,6.75,107.244442886349,6.21
RUS,Russian Federation,2014,558282985966.489,2059241589895.01,426062113844.975,7.82,98.1223651226271,5.37
RUS,Russian Federation,2015,391365600741.085,1363482182197.71,281640332372.515,15.53,79.9470267362867,3.08
RUS,Russian Federation,2016,330106509740.16,1276786350881.14,263830495058.506,7.04,79.7415763489827,3.62
RUS,Russian Federation,2017,410722481424.915,1574199360089.0,327207464722.169,3.68,92.1247205880669,3.61
RUS,Russian Federation,2018,510345505266.608,1657328773461.31,344519598182.381,2.88,85.4298847526875,3.51
RUS,Russian Federation,2019,481410680627.341,1693115002708.32,352088733268.664,4.47,87.7269251220998,5.34
RUS,Russian Federation,2020,381065599584.428,1493075894362.14,305255226176.837,3.38,80.7978096447921,4.07
RUS,Russian Federation,2021,548800273711.107,1829186719575.1,376515695621.301,6.69,79.4315739528105,4.17
RUS,Russian Federation,2022,635241831700.755,2291612121334.64,345173687961.946,13.74,102.299590722286,
RUS,Russian Federation,2023,465937815839.194,2071505725030.58,379947593532.553,5.87,81.8335860493805,
SAU,Saudi Arabia,2013,387745333333.333,769755733333.333,229995200000.0,3.51,101.562530700952,3.57
SAU,Saudi Arabia,2014,354973333333.333,787153066666.667,259006933333.333,2.24,103.800576354395,3.39
SAU,Saudi Arabia,2015,218010400000.0,693414400000.0,247307200000.0,1.22,113.579679229713,4.45
SAU,Saudi Arabia,2016,200877333333.333,689279466666.667,198364800000.0,2.05,117.270432918681,
SAU,Saudi Arabia,2017,239892533333.333,741266133333.333,201397866666.667,-0.83,114.904018958383,4.85
SAU,Saudi Arabia,2018,314916533333.333,886564800000.0,209069066666.667,2.47,113.956420193868,
SAU,Saudi Arabia,2019,285860000000.0,888890133333.333,218974666666.667,-1.19,112.939831994558,
SAU,Saudi Arabia,2020,182847733333.333,767951200000.0,182183733333.333,3.37,115.7928833348,4.23
SAU,Saudi Arabia,2021,286501333333.333,982661066666.667,213515200000.0,3.06,113.562992784654,
SAU,Saudi Arabia,2022,445881333333.333,1239075200000.0,258212800000.0,2.47,118.389745485182,5.4
SAU,Saudi Arabia,2023,368530666666.667,1218584533333.33,291564533333.333,2.33,118.974988306558,
