country_code,year,rebate_rate,policy_index
AUS,2005,,0
AUS,2006,,0
AUS,2007,,0
AUS,2008,,0
AUS,2009,,0
AUS,2010,,0
AUS,2011,,0
AUS,2012,,0
AUS,2013,,0
AUS,2014,,0
AUS,2015,,0
AUS,2016,,0
AUS,2017,,0
AUS,2018,,0
AUS,2019,,0
AUS,2020,,0
AUS,2021,,0
AUS,2022,,0
AUS,2023,,0
AUS,2024,,0
BRN,2005,,0
BRN,2006,,0
BRN,2007,,0
BRN,2008,,0
BRN,2009,,0
BRN,2010,,0
BRN,2011,,0
BRN,2012,,0
BRN,2013,,0
BRN,2014,,0
BRN,2015,,0
BRN,2016,,0
BRN,2017,,0
BRN,2018,,0
BRN,2019,,0
BRN,2020,,0
BRN,2021,,0
BRN,2022,,0
BRN,2023,,0
BRN,2024,,0
KHM,2005,,0
KHM,2006,,0
KHM,2007,,0
KHM,2008,,0
KHM,2009,,0
KHM,2010,,0
KHM,2011,,0
KHM,2012,,0
KHM,2013,,0
KHM,2014,,0
KHM,2015,,0
KHM,2016,,0
KHM,2017,,0
KHM,2018,,0
KHM,2019,,0
KHM,2020,,0
KHM,2021,,0
KHM,2022,,0
KHM,2023,,0
KHM,2024,,0
CHN,2005,,0
CHN,2006,,0
CHN,2007,,0
CHN,2008,,0
CHN,2009,,0
CHN,2010,,0
CHN,2011,,0
CHN,2012,,0
CHN,2013,,0
CHN,2014,,0
CHN,2015,,0
CHN,2016,,0
CHN,2017,,0
CHN,2018,,0
CHN,2019,,0
CHN,2020,,0
CHN,2021,,0
CHN,2022,,0
CHN,2023,,0
CHN,2024,,0
IDN,2005,,0
IDN,2006,,0
IDN,2007,,0
IDN,2008,,0
IDN,2009,,0
IDN,2010,,0
IDN,2011,,0
IDN,2012,,0
IDN,2013,,0
IDN,2014,,0
IDN,2015,,0
IDN,2016,,0
IDN,2017,,0
IDN,2018,,0
IDN,2019,,0
IDN,2020,,0
IDN,2021,,0
IDN,2022,,0
IDN,2023,,0
IDN,2024,,0
JPN,2005,,0
JPN,2006,,0
JPN,2007,,0
JPN,2008,,0
JPN,2009,,0
JPN,2010,,0
JPN,2011,,0
JPN,2012,,0
JPN,2013,,0
JPN,2014,,0
JPN,2015,,0
JPN,2016,,0
JPN,2017,,0
JPN,2018,,0
JPN,2019,,0
JPN,2020,,0
JPN,2021,,0
JPN,2022,,0
JPN,2023,,0
JPN,2024,,0
KOR,2005,,0
KOR,2006,,0
KOR,2007,,0
KOR,2008,,0
KOR,2009,,0
KOR,2010,,0
KOR,2011,,0
KOR,2012,,0
KOR,2013,,0
KOR,2014,,0
KOR,2015,,0
KOR,2016,,0
KOR,2017,,0
KOR,2018,,0
KOR,2019,,0
KOR,2020,,0
KOR,2021,,0
KOR,2022,,0
KOR,2023,,0
KOR,2024,,0
LAO,2005,,0
LAO,2006,,0
LAO,2007,,0
LAO,2008,,0
LAO,2009,,0
LAO,2010,,0
LAO,2011,,0
LAO,2012,,0
LAO,2013,,0
LAO,2014,,0
LAO,2015,,0
LAO,2016,,0
LAO,2017,,0
LAO,2018,,0
LAO,2019,,0
LAO,2020,,0
LAO,2021,,0
LAO,2022,,0
LAO,2023,,0
LAO,2024,,0
MYS,2005,,0
MYS,2006,,0
MYS,2007,,0
MYS,2008,,0
MYS,2009,,0
MYS,2010,,0
MYS,2011,,0
MYS,2012,,0
MYS,2013,,0
MYS,2014,,0
MYS,2015,,0
MYS,2016,,0
MYS,2017,,0
MYS,2018,,0
MYS,2019,,0
MYS,2020,,0
MYS,2021,,0
MYS,2022,,0
MYS,2023,,0
MYS,2024,,0
MMR,2005,,0
MMR,2006,,0
MMR,2007,,0
MMR,2008,,0
MMR,2009,,0
MMR,2010,,0
MMR,2011,,0
MMR,2012,,0
MMR,2013,,0
MMR,2014,,0
MMR,2015,,0
MMR,2016,,0
MMR,2017,,0
MMR,2018,,0
MMR,2019,,0
MMR,2020,,0
MMR,2021,,0
MMR,2022,,0
MMR,2023,,0
MMR,2024,,0
NZL,2005,,0
NZL,2006,,0
NZL,2007,,0
NZL,2008,,0
NZL,2009,,0
NZL,2010,,0
NZL,2011,,0
NZL,2012,,0
NZL,2013,,0
NZL,2014,,0
NZL,2015,,0
NZL,2016,,0
NZL,2017,,0
NZL,2018,,0
NZL,2019,,0
NZL,2020,,0
NZL,2021,,0
NZL,2022,,0
NZL,2023,,0
NZL,2024,,0
PHL,2005,,0
PHL,2006,,0
PHL,2007,,0
PHL,2008,,0
PHL,2009,,0
PHL,2010,,0
PHL,2011,,0
PHL,2012,,0
PHL,2013,,0
PHL,2014,,0
PHL,2015,,0
PHL,2016,,0
PHL,2017,,0
PHL,2018,,0
PHL,2019,,0
PHL,2020,,0
PHL,2021,,0
PHL,2022,,0
PHL,2023,,0
PHL,2024,,0
SGP,2005,,0
SGP,2006,,0
SGP,2007,,0
SGP,2008,,0
SGP,2009,,0
SGP,2010,,0
SGP,2011,,0
SGP,2012,,0
SGP,2013,,0
SGP,2014,,0
SGP,2015,,0
SGP,2016,,0
SGP,2017,,0
SGP,2018,,0
SGP,2019,,0
SGP,2020,,0
SGP,2021,,0
SGP,2022,,0
SGP,2023,,0
SGP,2024,,0
THA,2005,,0
THA,2006,,0
THA,2007,,0
THA,2008,,0
THA,2009,,0
THA,2010,,0
THA,2011,,0
THA,2012,,0
THA,2013,,0
THA,2014,,0
THA,2015,,0
THA,2016,,0
THA,2017,,0
THA,2018,,0
THA,2019,,0
THA,2020,,0
THA,2021,,0
THA,2022,,0
THA,2023,,0
THA,2024,,0
VNM,2005,,0
VNM,2006,,0
VNM,2007,,0
VNM,2008,,0
VNM,2009,,0
VNM,2010,,0
VNM,2011,,0
VNM,2012,,0
VNM,2013,,0
VNM,2014,,0
VNM,2015,,0
VNM,2016,,0
VNM,2017,,0
VNM,2018,,0
VNM,2019,,0
VNM,2020,,0
VNM,2021,,0
VNM,2022,,0
VNM,2023,,0
VNM,2024,,0
