date,A_tv,A_fixed
2016-03-31,0.41634692610873303,0.3097712934393299
2016-06-30,0.37735630496507944,0.059036405373374616
2016-09-30,0.4069785137850494,0.058402372115490354
2016-12-31,0.3900901710071924,0.0245566915595593
2017-03-31,0.38218306512287464,0.029301663799317014
2017-06-30,0.31390532865322385,0.009607543348012589
2017-09-30,0.37660478489214366,0.21147679658746235
2017-12-31,0.4111838782199071,0.403256031749162
2018-03-31,0.43802155091077294,0.4213339491296617
2018-06-30,0.40541710905590117,0.1540203859993749
2018-09-30,0.26926315951412216,0.002680652770615726
2018-12-31,0.2217289235807102,-0.006454117541094956
2019-03-31,0.024055371563208392,-0.12520461949956255
2019-06-30,-0.0032900022276968555,-0.09987803430114173
2019-09-30,0.0344325848851048,-0.45292848432937904
2019-12-31,0.5349435577729543,-0.015041956246777219
2020-03-31,0.21685581388138897,-2.511299734689433
2020-06-30,0.4423966540288561,-1.6696094454545334
2020-09-30,-0.8994201865588312,-2.3576875477247317
2020-12-31,-1.0989519309934312,-5.460879240737929
2021-03-31,-1.4488473016860386,0.34582239842281987
2021-06-30,0.36827426632235266,0.3979891712826836
2021-09-30,0.4340957051897697,0.4490860801360143
2021-12-31,0.3508943687226688,0.5520868515661012
2022-03-31,0.8375928865817464,0.7022044685168739
2022-06-30,0.8572624561428699,0.7784426719135805
2022-09-30,0.964553105119107,0.9350592253864174
2022-12-31,0.04365413384502706,-0.033848060067051974
2023-03-31,0.28796269548461395,0.13428514851832718
2023-06-30,0.23988629385153648,0.10110180648247125
2023-09-30,0.19576757362618066,0.07897898078607411
2023-12-31,0.14798340622422365,0.0887235646735285
2024-03-31,0.12535578437396985,0.5309193551677731
2024-06-30,0.21157469704115195,0.15411361176232766
2024-09-30,0.08942817798095462,0.07804716928871577
2024-12-31,0.09036753551863794,0.0783268330082108
