date,A_equal,A_trade,S_equal,HL_equal
2016-03-31,0.4163469261087331,0.41634692610873303,0.05174118989084629,0.34761904761904766
2016-06-30,0.37735630496507944,0.37735630496507944,0.053528480802623866,0.3047619047619048
2016-09-30,0.4069785137850496,0.40697851378504946,0.05584956714779417,0.2714285714285714
2016-12-31,0.3900901710071925,0.39009017100719245,0.05435624345943557,0.3857142857142858
2017-03-31,0.3821830651228746,0.38218306512287464,0.052910291246412215,0.46190476190476193
2017-06-30,0.3139053286532238,0.31390532865322385,0.05154241880960301,0.6476190476190476
2017-09-30,0.3766047848921437,0.3766047848921437,0.05525797928534271,0.5190476190476191
2017-12-31,0.41118387821990715,0.41118387821990715,0.0844444830433787,0.21904761904761905
2018-03-31,0.4380215509107729,0.4380215509107729,0.09842904244451314,0.02380952380952381
2018-06-30,0.40541710905590106,0.40541710905590106,0.08133036660425386,0.09047619047619049
2018-09-30,0.2692631595141222,0.2692631595141222,0.062142210364508496,0.9523809523809523
2018-12-31,0.2217289235807102,0.22172892358071022,0.05568781499935408,1.8
2019-03-31,0.02405537156320839,0.024055371563208375,0.11206249209152105,0.7523809523809524
2019-06-30,-0.0032900022276968525,-0.0032900022276968594,24.403281823003432,0.0
2019-09-30,0.0344325848851048,0.03443258488510479,0.31662677438858955,3.6952380952380954
2019-12-31,0.5349435577729543,0.5349435577729544,0.8576236210396858,0.5428571428571429
2020-03-31,0.216855813881389,0.21685581388138903,0.3046640768159866,0.4904761904761905
2020-06-30,0.4423966540288561,0.4423966540288561,0.32552179776171664,0.8285714285714287
2020-09-30,-0.8994201865588312,-0.8994201865588313,5.234208386073945,0.009523809523809525
2020-12-31,-1.098951930993431,-1.0989519309934312,2.4849166549999655,0.06190476190476191
2021-03-31,-1.4488473016860386,-1.4488473016860386,7008.30332318382,0.0
2021-06-30,0.3682742663223526,0.3682742663223526,1986172.9130049734,0.0
2021-09-30,0.43409570518976975,0.43409570518976964,182146684.51782262,0.0
2021-12-31,0.35089436872266877,0.3508943687226687,5241900.974081799,0.0
2022-03-31,0.8375928865817465,0.8375928865817466,7.58902337188105,0.18095238095238098
2022-06-30,0.85726245614287,0.8572624561428701,9.910534065028823,0.0
2022-09-30,0.9645531051191072,0.964553105119107,49.36103661532967,0.0761904761904762
2022-12-31,0.043654133845027074,0.04365413384502705,1.206426231816236,1.0809523809523809
2023-03-31,0.2879626954846139,0.28796269548461395,0.8113127348219682,1.1476190476190475
2023-06-30,0.2398862938515365,0.2398862938515365,0.7127486549917469,1.2142857142857144
2023-09-30,0.19576757362618066,0.19576757362618066,0.6579677314356382,1.2904761904761903
2023-12-31,0.1479834062242236,0.14798340622422365,0.6100375963367863,1.3904761904761904
2024-03-31,0.12535578437396988,0.12535578437396985,0.5894480852526454,1.5380952380952382
2024-06-30,0.21157469704115198,0.21157469704115195,0.6930486449876196,1.4904761904761905
2024-09-30,0.08942817798095463,0.08942817798095463,0.5952547536961844,1.7142857142857142
2024-12-31,0.09036753551863792,0.09036753551863792,0.5947791615944534,1.7380952380952381
