m,H,beta,se,p_val
32,4,0.0016294728826145273,0.0005470754157276085,0.0029042159596450734
32,8,0.0013173908351142372,0.00046248168466372013,0.0044022099737435205
32,12,0.0011516356738892949,0.0003934321841782319,0.0034293965522214087
32,16,0.0011452255889775017,0.00036032585657737597,0.0014864074624663104
40,4,0.0015177582765122173,0.0005549689624599894,0.006255858596181829
40,8,0.0010814612367768624,0.00043205744837970176,0.012334460197073183
40,12,0.0008759511262954359,0.00035713215417829445,0.014200595964158014
40,16,0.000565317099184054,0.0003033689984623757,0.06243710955406523
48,4,0.0013374271228061558,0.0005252102944781203,0.010908504675785968
48,8,0.0009510838759914918,0.0004450747313018634,0.032648336845622516
48,12,0.0009120316425694182,0.00038370903641158976,0.017492764463416632
48,16,0.00041529723157331897,0.00030660121639414266,0.1756250348311308
